CaseID,Activity,Timestamp,MineName,MineType,MineTypeGroup,Inspectorate,MineStatus,AdministeredBy,MineCluster,Region,MineAddress,MineAddressTown,MineAddressState,MineAddressPostalCode,MineDecLat,MineDecLon,EventID,EventType (1A),HazardClass,HazardType,Incident Type (5A),Surface or Underground (5A),Hazard Code Description (5A),InspectionType (MRE),Status (MRE),DisplayTitle (CA),Section (CA),Directive_disp (CA),CANumber
MI01422,Incident,2017-03-11 12:30:00,Kestrel Coal Mine,Coal Mine - Underground,Coal Mine - Underground,COAL,Operating,Rockhampton Office,,,,,,,-23.26,148.30263,946,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI00750,Incident,2017-03-11 14:15:00,Moranbah North,Coal Mine - Underground,Coal Mine - Underground,COAL,Operating,Mackay Office,C- Moranbah,Central,1164 Goonyella Road,Moranbah,QLD,4744.0,-21.88576,147.96564,947,Serious Accident,Pressure,Other,High potential lost time,underground,Human error/actions,,,,,,
MI00159,Incident,2017-03-11 16:30:00,Curragh Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,,,,,,-23.49741,148.84478,948,High Potential Incident,Electrical,Arc flash/blast,High potential no lost time,surface,Electrical equipment,,,,,,
MI00568,Incident,2017-03-11 19:00:00,Goonyella Riverside,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-21.7581,147.95235,949,High Potential Incident,Vehicle,Other,High potential no lost time,surface,Human error/actions,,,,,,
MI00159,Incident,2017-03-11 22:00:00,Curragh Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,,,,,,-23.49741,148.84478,950,High Potential Incident,,,High potential no lost time,surface,Explosives,,,,,,
MI02717,Inspection,2017-03-12 00:00:00,Sheldon Quarry,Metalliferous - Quarry,Quarry,MMQ,Closed,Brisbane Office,B- Redland,Southern,706 Mt Cotton Rd.,Sheldon,QLD,4157.0,-27.57556,153.219948,951,,,,,,,Inspection - Weekend or Backshift,Closed,,,,
MI01190,Incident,2017-03-12 09:45:00,Peak Downs,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-22.25686,148.17664,952,High Potential Incident,Vehicle,Unplanned movement of equipment (eg CM),High potential no lost time,surface,Moving vehicles/equipment,,,,,,
MI01808,Incident,2017-03-12 10:00:00,QCoal Northern Hub (Sonoma - Cows - Drake 1 & 2 - Jax),Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,C- Mackay,Central,Bowen Developmental Road,Collinsville,QLD,4804.0,-20.63823,147.85616,953,High Potential Incident,Psychosocial,Fatigue,High potential no lost time,surface,Fatigue,,,,,,
MI00054,Incident,2017-03-12 16:30:00,Blackwater Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Ardurad Road (Blackwater Rolleston Road),BLACKWATER,QLD,4717.0,-23.7697,148.87879,954,High Potential Incident,Extreme Weather,Wind,High potential no lost time,surface,Other,,,,,,
MI01808,Incident,2017-03-12 21:06:00,QCoal Northern Hub (Sonoma - Cows - Drake 1 & 2 - Jax),Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,C- Mackay,Central,Bowen Developmental Road,Collinsville,QLD,4804.0,-20.63823,147.85616,955,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI01708,Incident,2017-03-12 23:30:00,Mungana Underground,Metalliferous Mine - Underground,Metalliferous Mine - Underground,MMQ,Care & Maintenance,Townsville Office,T- Chilligoe,Northern,,,,,-17.10654,144.38406,956,High Potential Incident,Mechanical,Other,High potential lost time,underground,Moving vehicles/equipment,,,,,,
MI01362,Inspection,2017-03-13 00:00:00,Acid Plant,Metalliferous - Minerals Processing,Metalliferous Mine - Surface,MMQ,Operating,Mount Isa Office,MI- Mount Isa,Northern,,,,,-20.73533889,139.48389,957,,,,,,,Inspection,Closed,,,,
MI02878,Action,2017-03-13 01:47:00,Five Mile Crusher,Metalliferous - Quarry,Quarry,MMQ,Operating,Mount Isa Office,MI- Cloncurry,Northern,,,,,-20.65138889,140.495,958,,Mechanical,Caught in nip point,,,,Inspection,Closed,Directive,163.0,Directive to reduce risk,1.0
MI02878,Action,2017-03-13 01:56:00,Five Mile Crusher,Metalliferous - Quarry,Quarry,MMQ,Operating,Mount Isa Office,MI- Cloncurry,Northern,,,,,-20.65138889,140.495,959,,Non Hazard Specific,First aid,,,,Inspection,Closed,Substandard Condition or Practice,,,2.0
MI01422,Incident,2017-03-13 07:30:00,Kestrel Coal Mine,Coal Mine - Underground,Coal Mine - Underground,COAL,Operating,Rockhampton Office,,,,,,,-23.26,148.30263,960,High Potential Incident,Electrical,Explosion protected equipment failure,High potential no lost time,underground,Electrical equipment,,,,,,
MI00750,Action,2017-03-13 08:06:00,Moranbah North,Coal Mine - Underground,Coal Mine - Underground,COAL,Operating,Mackay Office,C- Moranbah,Central,1164 Goonyella Road,Moranbah,QLD,4744.0,-21.88576,147.96564,961,,,,,,,Inspection,Closed,Recommendation,,,1.0
