Dataset_Type,Dataset_Category,Checkpoint_Percentage,Method,N_Datasets,N_Experiments,ARI_Mean,ARI_Std,ARI_Best,NMI_Mean,NMI_Std,NMI_Best,Silhouette_Score_Mean,Silhouette_Score_Std,Silhouette_Score_Best,F-score_Mean,F-score_Std,F-score_Best,Log_Precision_Mean,Log_Precision_Std,Log_Precision_Best,Log_Fitness_Mean,Log_Fitness_Std,Log_Fitness_Best
Real-life,Environmental_Permits,80,DupliMend,1,5,,,,,,,0.2162156528357621,0.2539632143941281,0.3841110875185503,0.2127165013470239,0.0117491509390261,0.2295433851660295,0.1269794496269165,0.0083223467651132,0.1389546429113765,0.6567172379571813,0.005054297855396,0.6632504542144245
Real-life,Environmental_Permits,100,DupliMend,1,5,,,,,,,0.2590885561022652,0.1538940537143862,0.3734181841679992,0.2178040927598751,0.0100216976115307,0.2319083169209842,0.1301108263773055,0.0073746909516538,0.1405616829541076,0.6700000000000002,0.0062561707679302,0.6769270786791584
Real-life,Road_Traffic_Fines,20,DupliMend,1,5,,,,,,,0.8324795616268962,0.03610191174223894,0.9583205734432789,0.5705106097070971,0.0077709688429214,0.582746072112307,0.4634347798583796,0.0065495365872189,0.4684857246897017,0.7129637016949835,0.0071766656042815,0.7219636336885293
Real-life,Road_Traffic_Fines,40,DupliMend,1,5,,,,,,,0.8246466889734559,0.05475884550556351,0.9617016277348757,0.5957377502469716,0.0055302551106464,0.6024091101035074,0.4877504281171182,0.0091623088867141,0.4982528450023584,0.7493795372871876,0.0089567533489703,0.7563881596631253
Real-life,Road_Traffic_Fines,60,DupliMend,1,5,,,,,,,0.8892940916619948,0.03171942605576092,0.9059235721387272,0.6773446539316729,0.013720924713589,0.6929819112701191,0.5526547023584235,0.0090086160660954,0.5615668493890901,0.8574514219717138,0.0086191545138996,0.8640011947972879
Real-life,Road_Traffic_Fines,80,DupliMend,1,5,,,,,,,0.8680892009394567,0.0754660201039391,0.9286772582835419,0.7702045545531963,0.0142507652939036,0.7861486993443845,0.626509416265199,0.0089511669795553,0.6373389271249755,0.9696610486540712,0.0116562864324949,0.9810028332236624
Real-life,Road_Traffic_Fines,100,DupliMend,1,5,,,,,,,0.8766458062236836,0.042938999080000845,0.9092695247620104,0.8,0.0114456011987315,0.8129625584446399,0.6599999999999999,0.0099130226993663,0.672836997759077,0.9932240540751204,0.0084297922097733,1.0
Synthetic,DocReview,20,DupliMend,647,3235,0.5497367878986185,0.3823986971330145,0.998863807816782,0.7104465662751871,0.2007040858707523,0.9591108031614102,0.4200361557735619,0.3104032406048482,0.9999616718150608,0.69230238590411,0.0497920734171515,0.8642110947947058,0.7693058486339659,0.0539000672420472,0.9023970241840968,0.7103256584970606,0.0524206770831332,0.936670444008072
Synthetic,DocReview,40,DupliMend,647,3235,0.5470956250327162,0.3797610429459674,0.9999043221742754,0.7105902521052806,0.1993880549326833,0.9585919701026636,0.41638624045287,0.3136129402064747,0.999439167417184,0.6919342933200453,0.0500120989388011,0.8438210100503616,0.7690816883221765,0.0541438957508179,0.909669542542348,0.710481155708409,0.0525689916702979,0.9408263166801694
Synthetic,DocReview,60,DupliMend,647,3235,0.5432632053608645,0.3862710827314082,0.9993508493005904,0.7093350448184997,0.1995524528384998,0.957893068745303,0.4182144584171226,0.3087643231794317,0.999857451702066,0.692157108813142,0.0500070024922695,0.8625616095329082,0.7692333601402292,0.0531985847542657,0.9049614574191496,0.7096810194878473,0.0516828248354264,0.9524378727203544
