2026-08-26 09:03:57,292 - DEBUG - matplotlib data path: /home/savi/duplimend_repro/venv311/lib/python3.11/site-packages/matplotlib/mpl-data
2026-08-26 09:03:57,296 - DEBUG - CONFIGDIR=/home/savi/.config/matplotlib
2026-08-26 09:03:57,297 - DEBUG - interactive is False
2026-08-26 09:03:57,298 - DEBUG - platform is linux
2026-08-26 09:04:06,722 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 64, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:06,755 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 65, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:06,806 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 66, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:06,813 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 67, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:06,833 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 68, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,005 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 69, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,027 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 70, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,086 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 71, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,141 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 72, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,186 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 73, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,235 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 74, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,247 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 75, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,261 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 76, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,357 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 77, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,383 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 78, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,425 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 79, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,452 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 80, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,454 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 81, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,478 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 82, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,547 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 83, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,681 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 84, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,693 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 85, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,711 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 86, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,810 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 87, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,823 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 88, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,892 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 89, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,991 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 90, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:07,993 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 91, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:08,001 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 92, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:08,179 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 93, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:08,222 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 94, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:08,239 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 95, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:08,272 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 96, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:08,385 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 97, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:08,396 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 98, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:08,420 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 99, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:08,438 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 100, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:08,458 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 101, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:08,493 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 102, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:08,576 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 103, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:08,627 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 104, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:08,704 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 105, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:08,920 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 106, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:08,950 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 107, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:08,969 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 108, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:08,983 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 109, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:09,008 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 110, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:09,067 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 111, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:09,273 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 112, 'reason': 'update_missing_cluster', 'feature_count': 64}
